"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"is" 0.41 0.53 0.31 0.94 0.63 0.32 0.37 0.49 0.55 0.61 0.29 0.63 0.77 0.74 0.1 0.45 0.24 0.2 0.27 0.29 0.2 0.5 0.45 0.12 0.57 0.32 0.44 0.55 0.87 0.22 1.02 0.44
"t" 0.63 0.57 0.65 0.26 0.51 0.84 0 0.54 0.13 0.06 0.43 0.28 0.9 0.78 0.12 0.24 0.85 0.95 0.59 0.43 1.04 0.42 0.46 0.85 0.44 0.2 0.3 0.37 0.05 0.33 0.07 0.38
"we" 0.61 0.96 0.65 0.47 0.45 0.42 0.34 0.27 0.31 0.98 0.59 0.39 0.33 0.53 0.2 0.32 0.26 0.27 0.24 0.15 0.67 0.25 0.2 0.19 0.83 0.23 0.43 0.28 0.53 0.23 0.99 0.66
"them" 0.58 0.43 0.68 0.34 0.28 0.41 0.58 0.51 0.26 0.41 0.29 0.36 0.31 0.4 0.31 0.39 0.36 0.31 0.31 0.3 0.45 0.33 0.15 0.37 0.34 0.72 0.72 0.69 0.32 0.6 0.46 0.54
"harry" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.91 1.68 2 1.46 1.55 1.41 1.41 1.59 0 0 0 0 0 0 0 0
"there" 0.45 0.55 0.48 0.67 0.33 0.53 0.44 0.46 0.11 0.14 0.09 0.06 0.36 0.34 0.13 0.32 0.28 0.35 0.31 0.4 0.31 0.43 0.3 0.51 0.46 0.62 0.5 0.68 0.64 0.47 0.61 0.51
"from" 0.42 0.22 0.23 0.48 0.23 0.29 0.34 0.26 0.59 0.68 0.57 0.44 0.36 0.49 0.7 0.5 0.35 0.29 0.36 0.34 0.32 0.44 0.37 0.28 0.36 0.37 0.4 0.4 0.43 0.4 0.48 0.41
"if" 0.53 0.34 0.44 0.37 0.39 0.53 0.46 0.39 0.62 0.54 0.37 0.34 0.52 0.4 0.25 0.62 0.21 0.24 0.1 0.17 0.32 0.24 0.24 0.31 0.48 0.39 0.31 0.34 0.43 0.36 0.38 0.45
"what" 0.55 0.4 0.27 0.43 0.44 0.49 0.59 0.44 0.42 0.29 0.19 0.43 0.6 0.49 0.16 0.45 0.4 0.37 0.28 0.44 0.38 0.4 0.37 0.4 0.36 0.16 0.29 0.26 0.26 0.15 0.3 0.34
"then" 0.55 0.3 0.29 0.28 0.29 0.31 0.29 0.57 0.36 0.49 0.53 0.39 0.4 0.33 0.48 0.54 0.21 0.13 0.33 0.28 0.16 0.23 0.23 0.21 0.22 0.34 0.25 0.3 0.49 0.58 0.36 0.4
"up" 0.4 0.52 0.27 0.27 0.31 0.42 0.42 0.27 0.12 0.08 0.2 0.09 0.28 0.13 0.19 0.26 0.52 0.43 0.55 0.37 0.35 0.46 0.16 0.59 0.48 0.46 0.49 0.46 0.16 0.58 0.37 0.32
"no" 0.39 0.37 0.35 0.45 0.28 0.44 0.38 0.3 0.26 0.38 0.31 0.31 0.22 0.32 0.21 0.41 0.22 0.31 0.31 0.33 0.29 0.32 0.18 0.22 0.37 0.28 0.34 0.34 0.51 0.48 0.35 0.59
"their" 0.46 0.42 0.34 0.32 0.16 0.25 0.31 0.41 0.42 0.51 0.46 0.44 0.15 0.45 0.42 0.24 0.31 0.23 0.18 0.1 0.15 0.17 0.03 0.22 0.24 0.44 0.67 0.65 0.37 0.42 0.4 0.45
"out" 0.42 0.36 0.34 0.33 0.27 0.44 0.31 0.36 0.13 0.12 0.15 0.13 0.27 0.16 0.26 0.25 0.48 0.42 0.32 0.33 0.43 0.31 0.25 0.48 0.42 0.62 0.35 0.4 0.15 0.33 0.2 0.3
