"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"ignored" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0.02 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"invisibility" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"isildur" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0.03
"islands" 0.01 0.01 0.04 0 0 0 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"judge" 0 0 0 0.01 0 0 0 0 0.01 0 0 0.03 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0
"keeper" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0 0 0.03 0 0 0.01 0.02 0 0 0 0 0 0 0 0
"lake" 0 0 0 0 0.01 0 0.01 0 0 0.01 0.04 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0
"largest" 0 0.01 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0
"leap" 0.01 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0.01
"lest" 0.02 0 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.02
"lighter" 0.01 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.01 0.01
"lightly" 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0.01 0 0 0 0.01 0.01 0 0 0 0 0.01 0.02 0 0 0 0 0 0
"lions" 0 0.01 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"list" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0.03 0 0.02 0 0 0 0 0 0 0 0
"london" 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0
"losing" 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0.02 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0
"ma" 0 0 0.02 0.02 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"manage" 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0
"mended" 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0
"monsters" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0.02 0 0 0 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"moss" 0 0.01 0 0.03 0 0 0 0.02 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"mostly" 0.01 0 0.01 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0.01
"mounted" 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0.04 0 0 0
"mouths" 0.01 0 0 0 0 0.04 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01
"murmured" 0 0 0 0 0 0 0 0 0.01 0.03 0.02 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0
"nights" 0 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.04 0 0 0.01
"nonsense" 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0.02 0 0 0 0 0.01
"novitiate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"novitiates" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"obvious" 0 0.01 0 0 0.01 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"opinion" 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0.01 0 0 0 0 0 0.03 0 0 0 0.02 0 0 0 0 0 0 0 0
"overworld" 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"paw" 0.03 0 0 0 0 0 0 0.03 0 0 0 0 0.03 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"piles" 0 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0 0 0 0 0
"pillars" 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0 0 0
"planted" 0 0.01 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0
"plenty" 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0
"poison" 0 0 0.03 0.01 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0
"portraits" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0.06 0 0 0 0 0 0 0 0 0
"previous" 0 0 0 0 0.01 0 0 0 0.01 0.01 0.01 0.03 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"privy" 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"prophet" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0
"prove" 0.01 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0.01
"rabbit" 0.01 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0.01 0 0
"rarely" 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.02 0.01 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"reindeer" 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"reluctantly" 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0.02 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0
"resumed" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.02 0 0.02 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"risen" 0 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0.01 0 0.01 0.01
"rude" 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.02 0 0 0 0 0
"rumble" 0.04 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0
"seize" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.04 0 0 0 0 0.01 0 0 0 0.01
"servants" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0.01
"serve" 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.02 0.01 0 0
"shade" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0 0 0.01 0.01
"shadowy" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.01 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0.01
"shelves" 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0
"shiver" 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0 0 0.02 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01
"sibyll" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.05 0 0 0 0 0 0 0 0 0
"skies" 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.04 0 0
"slab" 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.07 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"slain" 0 0 0 0.01 0 0 0 0 0 0.02 0.03 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"slaves" 0 0 0 0 0.04 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0.01
"slender" 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.02 0.01 0 0 0.01 0
"slight" 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0.02 0 0.01 0.02 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"soared" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0.04 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"sofa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0
"spy" 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01
"square" 0 0 0.01 0 0 0.01 0 0 0.02 0 0 0 0 0 0.03 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0
"stamped" 0.01 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.03 0 0 0 0 0
"station" 0 0.05 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"stealing" 0 0 0 0 0.03 0.01 0 0.01 0 0 0 0.01 0 0.01 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"sticking" 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0.01 0.02 0.01 0 0 0 0
"stooped" 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.04 0.01
"stooping" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0.02 0.02 0.01
"straightened" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0.01 0 0 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0
"stunned" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0.03 0 0 0 0 0 0 0 0 0 0.01
"suffered" 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.01 0 0.01 0
"sunlit" 0 0 0 0.05 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0
"suspect" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.04 0.01 0 0 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0
"tablet" 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"tarkheena" 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"teachers" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0.02 0 0.02 0 0.01 0 0 0 0 0 0 0 0
"terribly" 0.03 0 0.01 0 0.01 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"tightly" 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0.01 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0
"traitor" 0.01 0 0.03 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"trial" 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0 0 0 0 0.01 0 0.02 0
"troubles" 0 0 0 0 0 0 0.01 0 0 0.05 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0
"turns" 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0.02 0 0 0 0.01
"twinkling" 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0.01 0 0.01 0 0.02 0 0
"twisting" 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.01
"uncertain" 0 0 0 0 0 0 0 0 0.01 0.03 0 0.01 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"unusual" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.02 0 0 0 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0
"uttered" 0 0 0 0 0.01 0 0 0 0.01 0.01 0.01 0.01 0 0 0.03 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"wandered" 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.04 0.01 0 0 0 0 0.01
"wept" 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.04 0 0
"widened" 0.01 0 0.01 0 0.01 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"wiped" 0 0 0 0 0 0 0 0.02 0.01 0 0 0.02 0.02 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0
"women" 0 0 0 0 0 0 0 0.01 0.04 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"wounds" 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0.05 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"yard" 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.04 0 0 0 0.03 0 0 0 0 0 0 0
"yawned" 0 0 0.01 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0.01 0
"abandon" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0.02 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"ability" 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0.01 0.02 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"abruptly" 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0.02 0.01 0 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"accursed" 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01
"adam" 0.01 0 0 0 0 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"admitted" 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0
"advantage" 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0 0.02 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"ahoshta" 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"alarm" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0.02 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0
"alongside" 0 0 0 0.01 0 0 0 0 0 0 0.03 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"amazed" 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0.02 0.01 0
"amazement" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0.01 0 0
"ankles" 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0
"area" 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0.03 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"argetlam" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"arranged" 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01
"astonished" 0.02 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"authority" 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0
"bags" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.03 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"banks" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0.01 0 0.01 0.01 0.01
"bat" 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.03 0 0 0 0.02 0 0 0 0 0 0 0 0
"beach" 0 0.06 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bearded" 0 0.01 0 0 0 0 0.03 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0
"bellowed" 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"bite" 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0.01 0.01
"biting" 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0
"blödhgarm" 0 0 0 0 0 0 0 0 0.04 0.01 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"boar" 0.08 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bole" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0
"bolt" 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"bonds" 0 0.01 0 0.04 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0
"brandywine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0.03 0 0 0 0 0 0
"brass" 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0.02 0 0 0 0.03 0 0 0 0 0 0 0 0
"broom" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.01 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0
"brute" 0.01 0 0.01 0 0.01 0.03 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"buckbeak" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"buckland" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0
"burke" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0
"burn" 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0.02 0 0 0 0 0
"butcher" 0 0 0 0 0 0 0 0 0 0.01 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0
"captured" 0 0 0 0 0.02 0 0 0 0.02 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"cart" 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0
"cautiously" 0 0.01 0 0.01 0.02 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01
"chain" 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.02 0 0.01
"chased" 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0.01 0 0 0 0 0
"cheers" 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0
"circular" 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.03 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0.01
"claim" 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0.01 0.01 0 0.02 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"clans" 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"colder" 0 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0.01 0.01
"commanded" 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0.01 0.02
"concentrate" 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.03 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"constantly" 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0
"contents" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0.02 0.03 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0
"copy" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0.01 0.02 0.02 0 0.01 0 0 0 0 0 0 0 0
"cords" 0.01 0.01 0 0.03 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"couldn^t" 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"countless" 0 0 0.03 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0
"damage" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0.01 0 0.04 0 0 0 0 0 0 0 0 0
"daughters" 0.01 0 0 0 0.02 0.01 0 0.03 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"dazzling" 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"delicious" 0 0.01 0.01 0 0.01 0.01 0.01 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dense" 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0
"deserted" 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0.02 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0
